Cap,Name,Career,Mat,Inn,NO,Runs,HS,Avg,Balls,Mdn,Runs,Wkt,Best,Avg,Ca,St
172,George Tribe,1946047,3,3,1,35,25*,17.5,760,9,330,2,Feb-48,165,0,0
173,Fred Freer,1946,1,1,1,28,28*,0,160,3,74,3,Feb-49,24.67,0,0
174,Bruce Dooland,1947048,3,5,1,76,29,19,880,9,419,9,Apr-69,46.56,3,0
175,Merv Harvey,1947,1,2,0,43,31,21.5,0,0,0,0,0,0,0,0
176,Ron Hamence,1947048,3,4,1,81,30*,27,0,0,0,0,0,0,1,0
177,Bill Johnston,1947055,40,49,25,273,29,11.38,11048,372,3826,160,Jun-44,23.91,16,0
178,Neil Harvey,1948063,79,137,10,6149,205,48.42,414,23,120,3,01-Aug,40,64,0
179,Len Johnson,1948,1,1,1,25,25*,0,282,10,74,6,03-Aug,12.33,2,0
180,Sam Loxton,1948051,12,15,0,554,101,36.93,906,20,349,8,Mar-55,43.63,7,0
181,Doug Ring,1948053,13,21,2,426,67,22.42,3024,69,1305,35,Jun-72,37.29,5,0
182,Ron Saggers,1948050,6,5,2,30,14,10,0,0,0,0,0,0,16,8
183,Jack Moroney,1949052,7,12,1,383,118,34.82,0,0,0,0,0,0,0,0
184,Geff Noblet,1950053,3,4,1,22,13*,7.33,774,25,183,7,Mar-21,26.14,1,0
185,Jack Iverson,1950051,5,7,3,3,1*,0.75,1108,29,320,21,Jun-27,15.24,2,0
186,Ken Archer,1950051,5,9,0,234,48,26,0,0,0,0,0,0,0,0
187,Jim Burke,1951059,24,44,7,1280,189,34.59,814,41,230,8,Apr-37,28.75,18,0
188,Graeme Hole,1951055,18,33,2,789,66,25.45,398,14,126,3,01-Sep,42,21,0
189,Gil Langley,1951056,26,37,12,374,53,14.96,0,0,0,0,0,0,83,15
190,Richie Benaud,1952064,63,97,7,2201,122,24.46,19108,805,6704,248,Jul-72,27.03,65,0
191,Colin McDonald,1952061,47,83,4,3107,170,39.33,8,0,3,0,0,0,14,0
192,George Thoms,1952,1,2,0,44,28,22,0,0,0,0,0,0,0,0
193,Ron Archer,1953056,19,30,1,713,128,24.59,3576,160,1318,48,May-53,27.46,20,0
194,Ian Craig,1953058,11,18,0,358,53,19.89,0,0,0,0,0,0,2,0
195,Alan Davidson,1953063,44,61,7,1328,80,24.59,11587,431,3819,186,Jul-93,20.53,42,0
196,Jack Hill,1953055,3,6,3,21,8*,7,606,29,273,8,Mar-35,34.13,2,0
197,Jim de Courcy,1953,3,6,1,81,41,16.2,0,0,0,0,0,0,3,0
198,Les Favell,1954061,19,31,3,757,101,27.04,0,0,0,0,0,0,9,0
199,Len Maddocks,1955056,7,12,2,177,69,17.7,0,0,0,0,0,0,18,1
200,Peter Burge,1955066,42,68,8,2290,181,38.17,0,0,0,0,0,0,23,0
201,Bill Watson,1955,4,7,1,106,30,17.67,6,0,5,0,0,0,2,0
202,Pat Crawford,1956,4,5,2,53,34,17.67,437,27,107,7,Mar-28,15.29,1,0
203,Ken Mackay,1956063,37,52,7,1507,89,33.49,5792,267,1721,50,Jun-42,34.42,16,0
204,Jack Rutherford,1956,1,1,0,30,30,30,36,2,15,1,01-Nov,15,0,0
205,Jack Wilson,1956,1,0,0,0,,0,216,17,64,1,Jan-25,64,0,0
206,Wally Grout,1957066,51,67,8,890,74,15.08,0,0,0,0,0,0,163,24
207,Lindsay Kline,1957061,13,16,9,58,15*,8.29,2373,113,776,34,Jul-75,22.82,9,0
208,Ian Meckiff,1957063,18,20,7,154,45*,11.85,3734,120,1423,45,Jun-38,31.62,9,0
209,Bob Simpson,1957078,62,111,7,4869,311,46.82,6881,253,3001,71,May-57,42.27,110,0
210,Ron Gaunt,1958064,3,4,2,6,3,3,716,14,310,7,Mar-53,44.29,1,0
211,Norm O'Neill,1958065,42,69,8,2779,181,45.56,1392,48,667,17,Apr-41,39.24,21,0
212,Keith Slater,1959,1,1,1,1,1*,0,256,9,101,2,Feb-40,50.5,0,0
213,Gordon Rorke,1959,4,4,2,9,7,4.5,703,26,203,10,Mar-23,20.3,1,0
214,Gavin Stevens,1959060,4,7,0,112,28,16,0,0,0,0,0,0,2,0
215,Barry Jarman,1959069,19,30,3,400,78,14.81,0,0,0,0,0,0,50,4
216,Johnny Martin,1961067,8,13,1,214,55,17.83,1846,57,832,17,Mar-56,48.94,5,0
217,Frank Misson,1961,5,5,3,38,25*,19,1197,30,616,16,Apr-58,38.5,6,0
218,Des Hoare,1961,1,2,0,35,35,17.5,232,0,156,2,Feb-68,78,2,0
219,Bill Lawry,1961071,67,123,12,5234,210,47.15,14,1,6,0,0,0,30,0
220,Graham McKenzie,1961071,60,89,12,945,76,12.27,17681,547,7328,246,Aug-71,29.79,34,0
221,Brian Booth,1961066,29,48,6,1773,169,42.21,436,27,146,3,Feb-33,48.67,17,0
222,Colin Guest,1963,1,1,0,11,11,11,144,0,59,0,0,0,0,0
223,Barry Shepherd,1963065,9,14,2,502,96,41.83,26,1,9,0,0,0,2,0
224,Neil Hawke,1963068,27,37,15,365,45*,16.59,6974,238,2677,91,7/105,29.42,9,0
225,Alan Connolly,1963071,29,45,20,260,37,10.4,7818,289,2981,102,Jun-47,29.23,17,0
226,Tom Veivers,1963067,21,30,4,813,88,31.27,4191,195,1375,33,Apr-68,41.67,7,0
227,Ian Redpath,1964076,66,120,11,4737,171,43.46,64,2,41,0,0,0,83,0
228,Grahame Corling,1964,5,4,1,5,3,1.67,1159,50,447,12,Apr-60,37.25,0,0
229,Bob Cowper,1964068,27,46,2,2061,307,46.84,3005,138,1139,36,Apr-48,31.64,21,0
230,Rex Sellers,1964,1,1,0,0,,0,30,1,17,0,0,0,1,0
231,Ian Chappell,1964080,75,136,10,5345,196,42.42,2873,87,1316,20,Feb-21,65.8,105,0
232,David Sincock,1964066,3,4,1,80,29,26.67,724,7,410,8,Mar-67,51.25,2,0
233,Laurie Mayne,1965070,6,11,3,76,13,9.5,1251,37,628,19,Apr-43,33.05,3,0
234,Peter Philpott,1965066,8,10,1,93,22,10.33,2262,67,1000,26,May-90,38.46,5,0
235,Grahame Thomas,1965066,8,12,1,325,61,29.55,0,0,0,0,0,0,3,0
236,Peter Allan,1965,1,0,0,0,,0,192,6,83,2,Feb-58,41.5,0,0
237,Doug Walters,1965081,74,125,14,5357,250,48.26,3295,79,1425,49,May-66,29.08,43,0
238,Keith Stackpole,1966074,43,80,5,2807,207,37.43,2321,86,1001,15,Feb-33,66.73,47,0
239,David Renneberg,1966068,8,13,7,22,9,3.67,1598,42,830,23,May-39,36.09,2,0
240,Brian Taber,1966070,16,27,5,353,48,16.05,0,0,0,0,0,0,56,4
241,Graeme Watson,1967072,5,9,0,97,50,10.78,552,23,254,6,Feb-67,42.33,1,0
242,John Gleeson,1967072,29,46,8,395,45,10.39,8857,378,3367,93,May-61,36.2,17,0
243,Paul Sheahan,1967074,31,53,6,1594,127,33.91,0,0,0,0,0,0,17,0
244,Eric Freeman,1968070,11,18,0,345,76,19.17,2183,58,1128,34,Apr-52,33.18,5,0
245,Les Joslin,1968,1,2,0,9,7,4.5,0,0,0,0,0,0,0,0
246,John Inverarity,1968072,6,11,1,174,56,17.4,372,26,93,4,Mar-26,23.25,4,0
247,Ashley Mallett,1968080,38,50,13,430,43*,11.62,9990,419,3940,132,Aug-59,29.85,30,0
248,Terry Jenner,1970075,9,14,5,208,74,23.11,1881,62,749,24,May-90,31.21,5,0
249,Rod Marsh,1970084,96,150,13,3633,132,26.52,72,1,54,0,0,0,343,12
250,Alan Thomson,1970071,4,5,4,22,12*,22,1519,33,654,12,Mar-79,54.5,0,0
251,Greg Chappell,1970084,87,151,19,7110,247*,53.86,5327,208,1913,47,May-61,40.7,122,0
252,Ross Duncan,1971,1,1,0,3,3,3,112,4,30,0,0,0,0,0
253,Kerry O'Keeffe,1971077,24,34,9,644,85,25.76,5384,189,2018,53,5/101,38.08,15,0
254,Dennis Lillee,1971084,70,90,24,905,73*,13.71,18467,652,8493,355,Jul-83,23.92,23,0
255,Tony Dell,1971074,2,2,2,6,3*,0,559,18,160,6,Mar-65,26.67,0,0
256,Ken Eastwood,1971,1,2,0,5,5,2.5,40,0,21,1,Jan-21,21,0,0
257,David Colley,1972,3,4,0,84,54,21,729,20,312,6,Mar-83,52,1,0
258,Bruce Francis,1972,3,5,0,52,27,10.4,0,0,0,0,0,0,1,0
259,Ross Edwards,1972075,20,32,3,1171,170*,40.38,12,0,20,0,0,0,7,0
260,Bob Massie,1972073,6,8,1,78,42,11.14,1739,74,647,31,Aug-53,20.87,1,0
261,John Benaud,1972073,3,5,0,223,142,44.6,24,1,12,2,02-Dec,6,0,0
262,Jeff Thomson,1973085,51,73,20,679,49,12.81,10535,301,5601,200,Jun-46,28.01,20,0
263,Max Walker,1973077,34,43,13,586,78*,19.53,10094,380,3792,138,8/143,27.48,12,0
264,John Watkins,1973,1,2,1,39,36,39,48,1,21,0,0,0,1,0
265,Jeff Hammond,1973,5,5,2,28,19,9.33,1031,47,488,15,Apr-38,32.53,2,0
266,Ian Davis,1974077,15,27,1,692,105,26.62,0,0,0,0,0,0,9,0
267,Gary Gilmour,1974077,15,22,1,483,101,23,2661,51,1406,54,Jun-85,26.04,8,0
268,Geoff Dymock,1974080,21,32,7,236,31*,9.44,5545,179,2116,78,Jul-67,27.13,1,0
269,Alan Hurst,1974079,12,20,3,102,26,6,3054,74,1200,43,May-28,27.91,3,0
270,Ashley Woodcock,1974,1,1,0,27,27,27,0,0,0,0,0,0,1,0
271,Wally Edwards,1974,3,6,0,68,30,11.33,0,0,0,0,0,0,0,0
272,Rick McCosker,1975080,25,46,5,1622,127,39.56,0,0,0,0,0,0,21,0
273,Alan Turner,1975077,14,27,1,768,136,29.54,0,0,0,0,0,0,15,0
274,Gary Cosier,1975078,18,32,1,897,168,28.94,899,30,341,5,Feb-26,68.2,14,0
275,Graham Yallop,1976084,39,70,3,2756,268,41.13,192,5,116,1,Jan-21,116,23,0
276,David Hookes,1977085,23,41,3,1306,143*,34.37,96,4,41,1,01-Apr,41,12,0
277,Len Pascoe,1977082,14,19,9,106,30*,10.6,3403,112,1668,64,May-59,26.06,2,0
278,Richie Robinson,1977,3,6,0,100,34,16.67,0,0,0,0,0,0,4,0
279,Craig Serjeant,1977078,12,23,1,522,124,23.73,0,0,0,0,0,0,13,0
280,Ray Bright,1977086,25,39,8,445,33,14.35,5541,298,2180,53,Jul-87,41.13,13,0
281,Kim Hughes,1977084,70,124,6,4415,213,37.42,85,4,28,0,0,0,50,0
282,Mick Malone,1977,1,1,0,46,46,46,342,24,77,6,May-63,12.83,0,0
283,Wayne Clark,1977079,10,19,2,98,33,5.76,2793,63,1265,44,Apr-46,28.75,6,0
284,Paul Hibbert,1977,1,2,0,15,13,7.5,0,0,0,0,0,0,1,0
285,Tony Mann,1977078,4,8,0,189,105,23.63,552,4,316,4,03-Dec,79,2,0
286,David Ogilvie,1977078,5,10,0,178,47,17.8,0,0,0,0,0,0,5,0
287,Steve Rixon,1977085,13,24,3,394,54,18.76,0,0,0,0,0,0,42,5
288,Peter Toohey,1977080,15,29,1,893,122,31.89,2,0,4,0,0,0,9,0
289,John Dyson,1977084,30,58,7,1359,127*,26.65,0,0,0,0,0,0,10,0
290,Sam Gannon,1977078,3,5,4,3,3*,3,726,13,361,11,Apr-77,32.82,3,0
291,Ian Callen,1978,1,2,2,26,22*,0,440,5,191,6,Mar-83,31.83,1,0
292,Rick Darling,1978079,14,27,1,697,91,26.81,0,0,0,0,0,0,5,0
293,Graeme Wood,1978088,59,112,6,3374,172,31.83,0,0,0,0,0,0,41,0
