Cap,Name,First,Last,Mat,Runs,HS,Avg,Balls,Wkt,BBI,Ave,Ca,St
126,Darren Gough,1994,2006,158,609,46*,12.42,8422,234,May-44,26.29,24,0
127,Shaun Udal,1994,2005,11,35,11*,11.66,612,9,Feb-37,44.44,1,0
128,Joey Benjamin,1994,1995,2,0,0,0,72,1,Jan-22,47,0,0
129,Craig White,1994,2003,51,568,57*,15.77,2364,65,May-21,26.55,12,0
130,John Crawley dagger,1994,1999,13,235,73,21.36,0,0,0,0,1,1
131,Peter Martin,1995,1998,20,38,6,6.33,1048,27,Apr-44,29.85,1,0
132,Alan Wells,1995,1995,1,15,15,15,0,0,0,0,0,0
133,Neil Smith,1996,1996,7,100,31,20,261,6,Mar-29,31.66,1,0
134,Mike Watkinson,1996,1996,1,0,0,0,54,0,0,0,0,0
135,Ali Brown,1996,2001,16,354,118,22.12,6,0,0,0,6,0
136,Mark Ealham,1996,2001,64,716,45,17.46,3227,67,May-15,32.79,9,0
137,Ronnie Irani,1996,2003,31,360,53,14.4,1283,24,May-26,41.2,6,0
138,Robert Croft,1996,2001,50,345,32,14.37,2466,45,Mar-51,38.73,11,0
139,Dean Headley,1996,1999,13,22,10*,11,594,11,Feb-38,47.27,3,0
140,Nick Knight,1996,2003,100,3637,125*,40.41,0,0,0,0,44,0
141,Graham Lloyd,1996,1998,6,39,22,9.75,0,0,0,0,2,0
142,Alan Mullally,1996,2001,50,86,20,5.73,2699,63,Apr-18,27.42,8,0
143,Adam Hollioake double-dagger,1996,1999,35,606,83*,25.25,1208,32,Apr-23,31.84,13,0
144,Chris Silverwood,1996,2001,7,17,12,4.25,306,6,Mar-43,40.66,0,0
145,Ashley Giles,1997,2005,62,385,41,17.5,2856,55,May-57,37.61,22,0
146,Ben Hollioake,1997,2002,20,309,63,20.6,642,8,Feb-37,66.5,6,0
147,Dougie Brown,1997,1998,9,99,21,24.75,324,7,Feb-28,43.57,1,0
148,Matthew Fleming,1997,1998,11,139,33,15.44,523,17,Apr-45,25.52,1,0
149,Chris Adams,1998,2000,5,71,42,17.75,0,0,0,0,3,0
150,Darren Maddy,1998,2000,8,113,53,18.83,0,0,0,0,1,0
151,Ian Austin,1998,1999,9,34,11*,6.8,475,6,Feb-25,60,0,0
152,Mark Alleyne,1999,2000,10,151,53,21.57,366,10,Mar-27,28,3,0
153,Vince Wells,1999,1999,9,141,39,20.14,220,8,Mar-30,23.62,7,0
154,Andrew Flintoff double-dagger,1999,2009,138,3293,123,31.97,5496,168,May-19,23.61,46,0
155,Chris Read dagger,2000,2006,36,300,30*,17.64,0,0,0,0,41,2
156,Vikram Solanki,2000,2006,51,1097,106,26.75,111,1,Jan-17,105,3,0
157,Graeme Swann,2000,2013,79,500,34,13.88,3809,104,May-28,27.76,29,0
158,Marcus Trescothick double-daggerdagger,2000,2006,123,4335,137,37.37,232,4,02-Jul,54.75,49,0
159,Paul Franks,2000,2000,1,4,4,4,54,0,0,0,1,0
160,Paul Grayson,2000,2001,2,6,6,3,90,3,Mar-40,20,1,0
161,Michael Vaughan double-dagger,2001,2007,86,1982,90*,27.15,796,16,Apr-22,40.56,25,0
162,Paul Collingwood double-dagger,2001,2011,197,5092,120*,35.36,5186,111,Jun-31,38.68,108,0
163,Owais Shah,2001,2009,71,1834,107*,30.56,193,7,Mar-15,26.28,21,0
164,James Foster dagger,2001,2002,11,41,13,13.66,0,0,0,0,13,7
165,Matthew Hoggard,2001,2006,26,17,7,4.25,1306,32,May-49,36,5,0
166,James Kirtley,2001,2004,11,2,1,1,549,9,Feb-33,53.44,5,0
167,Jeremy Snape,2001,2002,10,118,38,29.5,529,13,Mar-43,31,5,0
168,Ryan Sidebottom,2001,2010,25,133,24,13.3,1277,29,Mar-19,35.82,6,0
169,Alex Tudor,2002,2002,3,9,6,9,127,4,Feb-30,34,1,0
170,Ian Blackwell,2002,2006,34,403,82,14.92,1230,24,Mar-26,36.54,8,0
171,Gareth Batty,2002,2009,10,30,17,5,440,5,Feb-40,73.2,4,0
172,James Anderson,2002,2015,194,273,28,7.58,9584,269,May-23,29.22,53,0
173,Steve Harmison,2002,2009,58,91,18*,8.27,2899,76,May-33,32.64,10,0
174,Rikki Clarke,2003,2006,20,144,39,11.07,469,11,Feb-28,37.72,11,0
175,Anthony McGrath,2003,2004,14,166,52,16.6,228,4,Jan-13,43.75,4,0
176,Jim Troughton,2003,2003,6,36,20,9,0,0,0,0,1,0
177,Richard Johnson,2003,2003,10,16,10,5.33,402,11,Mar-22,21.72,0,0
178,Robert Key,2003,2004,5,54,19,10.8,0,0,0,0,0,0
179,Kabir Ali,2003,2006,14,93,39*,15.5,673,20,Apr-45,34.1,1,0
180,Andrew Strauss double-dagger,2003,2011,127,4205,158,35.63,6,0,0,0,57,0
181,Geraint Jones dagger,2004,2006,49,815,80,24.69,0,0,0,0,68,4
182,Sajid Mahmood,2004,2009,26,85,22*,7.72,1197,30,Apr-50,38.96,1,0
183,Alex Wharf,2004,2005,13,19,9,9.5,584,18,Apr-24,23.77,1,0
184,Ian Bell,2004,2015,161,5416,141,37.87,88,6,03-Sep,14.66,54,0
185,Kevin Pietersen double-dagger,2004,2013,134,4422,130,41.32,400,7,Feb-22,52.85,39,0
186,Simon Jones,2004,2005,8,1,1,1,348,7,Feb-43,39.28,0,0
187,Matt Prior dagger,2004,2011,68,1282,87,24.18,0,0,0,0,71,8
188,Jon Lewis,2005,2007,13,50,17,8.33,716,18,Apr-36,27.77,0,0
189,Chris Tremlett,2005,2011,15,50,19*,7.14,784,15,Apr-32,47,4,0
190,Liam Plunkett,2005,2018,70,567,56,21,3345,110,May-52,29.65,24,0
191,Glen Chapple,2006,2006,1,14,14,14,24,0,0,0,0,0
192,Jamie Dalrymple,2006,2007,27,487,67,19.48,840,14,02-May,47.57,12,0
193,Ed Joyce,2006,2007,17,471,107,27.7,0,0,0,0,6,0
194,Tim Bresnan,2006,2015,85,871,80,19.79,4221,109,May-48,34.98,20,0
195,Alex Loudon,2006,2006,1,0,0,0,36,0,0,0,0,0
197,Stuart Broad double-dagger,2006,2016,121,529,45*,12.3,6109,178,May-23,30.13,27,0
198,Michael Yardy,2006,2011,28,326,60*,20.37,1332,21,Mar-24,51.19,10,0
199,Paul Nixon dagger,2007,2007,19,297,49,21.21,0,0,0,0,20,3
200,Monty Panesar,2007,2007,26,26,13,5.2,1308,24,Mar-25,40.83,3,0
201,Mal Loye,2007,2007,7,142,45,20.28,0,0,0,0,0,0
202,Ravi Bopara,2007,2015,120,2695,101*,30.62,1860,40,Apr-38,38.07,35,0
203,Dimitri Mascarenhas,2007,2009,20,245,52,22.27,822,13,Mar-23,48.76,4,0
204,Luke Wright,2007,2014,50,707,52,20.2,1038,15,Feb-34,58.93,18,0
205,Phil Mustard dagger,2007,2008,10,233,83,23.3,0,0,0,0,9,2
206,Tim Ambrose dagger,2008,2008,5,10,6,2.5,0,0,0,0,3,0
207,Samit Patel,2008,2013,36,482,70*,32.13,1187,24,May-41,45.45,7,0
209,Joe Denly,2009,2009,9,268,67,29.77,0,0,0,0,5,0
211,Jonathan Trott,2009,2013,68,2819,137,51.25,183,2,Feb-31,83,14,0
212,Graham Onions,2009,2009,4,1,1,1,204,4,Feb-58,46.25,1,0
213,Steven Davies dagger,2009,2011,8,244,87,30.5,0,0,0,0,8,0
214,Craig Kieswetter dagger,2010,2013,46,1054,107,30.11,0,0,0,0,53,12
215,James Tredwell,2010,2015,45,163,30,11.64,2104,60,Apr-41,27.76,14,0
216,Ajmal Shahzad,2010,2011,11,39,9,6.5,588,17,Mar-41,28.82,4,0
218,Steven Finn,2011,2017,69,136,35,8,3550,102,May-33,29.37,15,0
219,Jade Dernbach,2011,2014,24,19,5,2.71,1234,31,Apr-45,42.19,5,0
220,Scott Borthwick,2011,2011,2,18,15,9,54,0,0,0,0,0
222,James Taylor double-dagger,2011,2015,27,887,101,42.23,0,0,0,0,7,0
224,Stuart Meaker,2012,2012,2,2,1,1,114,2,Jan-45,55,0,0
225,Danny Briggs,2012,2012,1,0,0,0,60,2,Feb-39,19.5,0,0
228,Gary Ballance,2013,2015,16,297,79,21.21,0,0,0,0,8,0
229,Michael Carberry,2013,2014,6,114,63,19,6,0,0,0,2,0
230,Boyd Rankin,2013,2014,7,5,4,5,319,10,Apr-46,24.1,0,0
233,Michael Lumb,2014,2014,3,165,106,55,0,0,0,0,1,0
234,Stephen Parry,2014,2014,2,0,0,0,114,4,Mar-32,23,0,0
235,Harry Gurney,2014,2014,10,15,6*,7.5,455,11,Apr-55,39.27,1,0
237,Zafar Ansari,2015,2015,1,0,0,0,0,0,0,0,0,0
239,James Vince,2015,2016,5,104,51,26,0,0,0,0,4,0
243,Reece Topley,2015,2016,10,7,6,7,463,16,Apr-50,25.62,2,0
244,Liam Dawson,2016,2016,1,10,10,10,48,2,Feb-70,35,0,0
246,Ben Duckett,2016,2016,3,123,63,41,0,0,0,0,0,0
247,Toby Roland-Jones,2017,2017,1,37,37*,0,42,1,Jan-34,34,0,0
